acc,feat_val,feature,setup
0.460270774977,0,prod_S0,original
0.576697964419,1,prod_S0,original
0.460270774977,0,prod_S0,candidate
0.460270774977,0,prod_S0,candidate
0.460270774977,0,prod_S0,candidate
0.460270774977,0,prod_S0,candidate
0.460270774977,0,prod_S0,candidate
0.460270774977,0,prod_S0,candidate
0.460270774977,0,prod_S0,candidate
0.460270774977,0,prod_S0,candidate
0.576697964419,1,prod_S0,candidate
0.576697964419,1,prod_S0,candidate
0.576697964419,1,prod_S0,candidate
0.576697964419,1,prod_S0,candidate
0.576697964419,1,prod_S0,candidate
0.576697964419,1,prod_S0,candidate
0.576697964419,1,prod_S0,candidate
0.576697964419,1,prod_S0,candidate
0.460270774977,0,prod_S0,baseline
0.460270774977,0,prod_S0,baseline
0.460270774977,0,prod_S0,baseline
0.460270774977,0,prod_S0,baseline
0.460270774977,0,prod_S0,baseline
0.460270774977,0,prod_S0,baseline
0.460270774977,0,prod_S0,baseline
0.460270774977,0,prod_S0,baseline
0.576697964419,1,prod_S0,baseline
0.576697964419,1,prod_S0,baseline
0.576697964419,1,prod_S0,baseline
0.576697964419,1,prod_S0,baseline
0.576697964419,1,prod_S0,baseline
0.576697964419,1,prod_S0,baseline
0.576697964419,1,prod_S0,baseline
0.576697964419,1,prod_S0,baseline
0.717374088358,0,prod_S1,original
0.595930495171,1,prod_S1,original
0.127913772673,0,prod_S1,candidate
0.127913772673,0,prod_S1,candidate
0.678937193125,0,prod_S1,candidate
0.678937193125,0,prod_S1,candidate
0.678937193125,0,prod_S1,candidate
0.127913772673,0,prod_S1,candidate
0.127913772673,0,prod_S1,candidate
0.678937193125,0,prod_S1,candidate
0.000245305260088,1,prod_S1,candidate
0.000245305260088,1,prod_S1,candidate
0.360630976925,1,prod_S1,candidate
0.360630976925,1,prod_S1,candidate
0.360630976925,1,prod_S1,candidate
0.000245305260088,1,prod_S1,candidate
0.000245305260088,1,prod_S1,candidate
0.360630976925,1,prod_S1,candidate
0.0885195361568,0,prod_S1,baseline
0.717374088358,0,prod_S1,baseline
0.31454689384,0,prod_S1,baseline
0.117125971922,0,prod_S1,baseline
0.184214406842,0,prod_S1,baseline
0.31454689384,0,prod_S1,baseline
0.31454689384,0,prod_S1,baseline
0.104468050575,0,prod_S1,baseline
0.231974222136,1,prod_S1,baseline
0.595930495171,1,prod_S1,baseline
0.481427322963,1,prod_S1,baseline
0.478931794384,1,prod_S1,baseline
0.347343473984,1,prod_S1,baseline
0.481427322963,1,prod_S1,baseline
0.481427322963,1,prod_S1,baseline
0.33112937578,1,prod_S1,baseline
0.655532106407,0,prod_S2,original
0.612898070561,1,prod_S2,original
0.0424776671762,0,prod_S2,candidate
0.18903314353,0,prod_S2,candidate
0.0424776671762,0,prod_S2,candidate
0.371604280095,0,prod_S2,candidate
0.0424776671762,0,prod_S2,candidate
0.371604280095,0,prod_S2,candidate
0.371604280095,0,prod_S2,candidate
0.0424776671762,0,prod_S2,candidate
0.000308566107503,1,prod_S2,candidate
0.0939271471063,1,prod_S2,candidate
0.000308566107503,1,prod_S2,candidate
0.476141387294,1,prod_S2,candidate
0.000308566107503,1,prod_S2,candidate
0.476141387294,1,prod_S2,candidate
0.476141387294,1,prod_S2,candidate
0.000308566107503,1,prod_S2,candidate
0.655532106407,0,prod_S2,baseline
0.27081168908,0,prod_S2,baseline
0.167711419635,0,prod_S2,baseline
0.00301677209314,0,prod_S2,baseline
0.167711419635,0,prod_S2,baseline
0.245632116299,0,prod_S2,baseline
0.27081168908,0,prod_S2,baseline
0.133716447146,0,prod_S2,baseline
0.612898070561,1,prod_S2,baseline
0.40810146629,1,prod_S2,baseline
0.444911849463,1,prod_S2,baseline
0.0247389962844,1,prod_S2,baseline
0.444911849463,1,prod_S2,baseline
0.378532838197,1,prod_S2,baseline
0.40810146629,1,prod_S2,baseline
0.063248701471,1,prod_S2,baseline
0.593610130616,0,prod_S3,original
0.651681344495,1,prod_S3,original
0.14625089306,0,prod_S3,candidate
0.30422489559,0,prod_S3,candidate
0.14625089306,0,prod_S3,candidate
0.0245238463267,0,prod_S3,candidate
0.0245238463267,0,prod_S3,candidate
0.30422489559,0,prod_S3,candidate
0.30422489559,0,prod_S3,candidate
0.14625089306,0,prod_S3,candidate
0.100119888104,1,prod_S3,candidate
0.602906379552,1,prod_S3,candidate
0.100119888104,1,prod_S3,candidate
0.000530006044158,1,prod_S3,candidate
0.000530006044158,1,prod_S3,candidate
0.602906379552,1,prod_S3,candidate
0.602906379552,1,prod_S3,candidate
0.100119888104,1,prod_S3,candidate
0.0778360420875,0,prod_S3,baseline
0.0997260462366,0,prod_S3,baseline
0.593610130616,0,prod_S3,baseline
0.245824121452,0,prod_S3,baseline
0.339033499683,0,prod_S3,baseline
0.593610130616,0,prod_S3,baseline
0.202986720895,0,prod_S3,baseline
0.593610130616,0,prod_S3,baseline
0.296337286517,1,prod_S3,baseline
0.0592848858524,1,prod_S3,baseline
0.651681344495,1,prod_S3,baseline
0.202330664729,1,prod_S3,baseline
0.401697417545,1,prod_S3,baseline
0.651681344495,1,prod_S3,baseline
0.417367409105,1,prod_S3,baseline
0.651681344495,1,prod_S3,baseline
0.483145327971,0,prod_S4,original
0.245551951243,1,prod_S4,original
0.0189370447121,0,prod_S4,candidate
0.122083952008,0,prod_S4,candidate
0.309528220515,0,prod_S4,candidate
0.309528220515,0,prod_S4,candidate
0.309528220515,0,prod_S4,candidate
0.122083952008,0,prod_S4,candidate
0.309528220515,0,prod_S4,candidate
0.122083952008,0,prod_S4,candidate
0.0,1,prod_S4,candidate
0.0,1,prod_S4,candidate
0.24985405721,1,prod_S4,candidate
0.24985405721,1,prod_S4,candidate
0.24985405721,1,prod_S4,candidate
0.0,1,prod_S4,candidate
0.24985405721,1,prod_S4,candidate
0.0,1,prod_S4,candidate
0.398461361182,0,prod_S4,baseline
0.398461361182,0,prod_S4,baseline
0.483145327971,0,prod_S4,baseline
0.216250888295,0,prod_S4,baseline
0.23789685803,0,prod_S4,baseline
0.23789685803,0,prod_S4,baseline
0.23789685803,0,prod_S4,baseline
0.17321851436,0,prod_S4,baseline
0.137077100115,1,prod_S4,baseline
0.137077100115,1,prod_S4,baseline
0.245551951243,1,prod_S4,baseline
0.329297344122,1,prod_S4,baseline
0.0665754440707,1,prod_S4,baseline
0.0665754440707,1,prod_S4,baseline
0.0665754440707,1,prod_S4,baseline
0.24844392249,1,prod_S4,baseline
